,ret_mean,ret_lo,ret_hi,px_mean,px_lo,px_hi
2024-03-04,6.0449181284634355e-05,-0.07083614450612788,0.07095704286869714,248.2145264989447,8.445016843198799,5787.57120984978
2024-03-05,-2.614689990924483e-05,-0.07092274590726962,0.07087045210745112,248.20803645856432,7.846073059445997,6197.738998095901
2024-03-06,-6.964458781304768e-05,-0.07096631888541573,0.07082702970978964,248.1907501121733,7.289266136711084,6636.706442247561
2024-03-07,-2.4208165289133918e-05,-0.07092089715580421,0.07087248082522596,248.18474186947137,6.7723048426881105,7107.0662923184045
2024-03-08,4.377351959438159e-05,-0.07085293952441309,0.07094048656360184,248.19560578913263,6.292467137228241,7611.245033135246
2024-03-11,5.0241602860148055e-05,-0.07084651494803099,0.07094699815375127,248.2080755341903,5.8466677701306065,8151.240020448841
2024-03-12,-4.005062009682389e-06,-0.07090076164780791,0.07089275152378856,248.20708144545648,5.432134572126656,8729.103853829281
2024-03-13,-4.598702879467861e-05,-0.07094277442113969,0.07085080036355035,248.19566713925502,5.046763874551,9347.567848329638
2024-03-14,-2.741258238884214e-05,-0.07092421516260726,0.07086938999782959,248.18886345508102,4.688826107637471,10010.024279704085
2024-03-15,2.1234405034679147e-05,-0.0708755728714293,0.07091804168149866,248.19413359793273,4.356502871164151,10719.915598804953
2024-03-18,3.787608724490365e-05,-0.07085895436092432,0.07093470653541412,248.20353422059054,4.047805633043095,11480.32966589059
2024-03-19,7.120393324472333e-06,-0.07088971190924111,0.07090395269589005,248.2053015273787,3.7608578578520664,12294.330417454119
2024-03-20,-2.7863373312023195e-05,-0.07092470613409171,0.07086897938746767,248.19838569040425,3.4941201194718188,13165.617066391393
2024-03-21,-2.4836983141857635e-05,-0.07092169093119939,0.07087201696491567,248.192221191283,3.2463112122821527,14098.690902474267
2024-03-22,7.343758427848506e-06,-0.07088951048220159,0.0709041979990573,248.1940438549991,3.0161817995705884,15098.34727375081
2024-03-25,2.6333681774936352e-05,-0.07087053109894724,0.0709231984624971,248.2005797179684,2.8024233935440424,16169.17035390274
2024-03-26,1.1344889039945515e-05,-0.0708855228204054,0.0709082125984853,248.20339552600498,2.603772146128538,17315.697322898402
2024-03-27,-1.5080668916019558e-05,-0.07091195109759717,0.07088178975976513,248.19965245277322,2.419133583032986,18543.064940083812
2024-03-28,-1.989860584246424e-05,-0.07091677570087072,0.0708769784891858,248.1947136257188,2.2475764293345915,19857.34135496571
2024-03-29,-3.581904207585754e-07,-0.07089723538179593,0.07089651900095442,248.1946247247499,2.0882294741854808,21265.157733646476
2024-04-01,1.6908542364456933e-05,-0.07087997271335246,0.07091378979808137,248.19882133407668,1.9402158260359954,22773.15065919333
2024-04-02,1.1656868256174394e-05,-0.07088522701674721,0.07090854075325956,248.20171455503834,1.8026831867459483,24387.961540790857
2024-04-03,-6.74854560058308e-06,-0.07090363285158066,0.0708901357603795,248.20003955444952,1.6748663999251963,26116.827445336432
2024-04-04,-1.4575367220253692e-05,-0.07091146303374049,0.07088231229929998,248.19642194772894,1.5560991731204468,27968.048564583696
2024-04-05,-3.966256338513942e-06,-0.07090085437266133,0.0708929218599843,248.19543753709718,1.4457704122576152,29950.785246048974
2024-04-08,9.899334123858285e-06,-0.07088699005803364,0.07090678872628137,248.19789450666136,1.3432840994177104,32074.499247676787
2024-04-09,1.0062125634565537e-05,-0.07088682905220905,0.07090695330347818,248.2003919050581,1.2480629490937367,34348.804268064254
2024-04-10,-1.7782080472933854e-06,-0.07089866939154268,0.0708951129754481,248.1999505531239,1.1595769466861061,36783.96662722022
2024-04-11,-9.865148374254628e-06,-0.07090675777927563,0.07088702748252712,248.19750202378523,1.0773551050010022,39391.47268044034
