Date,strategy,benchmark
2024-12-30,-0.01141159560599836,-0.005611982823683359
2024-12-31,-0.0036380356507244027,-0.0028839876529104247
2025-01-02,-0.0024570163568166103,-0.0013567324609160547
2025-01-03,0.012503434201538655,0.007228716752414321
2025-01-06,0.005760549823045968,0.0031995285572019583
2025-01-07,-0.01130402579003853,-0.008342259261745588
2025-01-08,0.0014610641578962635,0.0013306268796859921
2025-01-10,-0.01526749440544617,-0.011424697131432016
2025-01-13,0.001550409899268912,0.0005805673150187651
2025-01-14,0.0013759735522442806,0.0011186484716247946
2025-01-15,0.018190013648020642,0.014297651606247408
2025-01-16,-0.0019231569978489516,-0.0004523573626761257
2025-01-17,0.010039881189775057,0.006324096002157331
2025-01-21,0.009153553197527309,0.0067945555529149715
2025-01-22,0.005621428953963337,0.002719230630959135
